Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dragon,&&&&&&&&&&,monster,1,1,PRACTICE,???
2,+,infant,&&&&&&&&&&,baby,1,1,PRACTICE,???
3,+,storm,&&&&&&&&&&,cloud,1,1,PRACTICE,???
4,+,water,&&&&&&&&&&,sprinkler,1,1,PRACTICE,???
5,+,movie,&&&&&&&&&&,purpose,2,0,PRACTICE,ABSTRACT
6,+,tree,&&&&&&&&&&,sin,2,0,PRACTICE,ABSTRACT
7,+,brain,&&&&&&&&&&,idea,2,0,PRACTICE,ABSTRACT
8,+,rock,&&&&&&&&&&,envy,2,0,PRACTICE,ABSTRACT
9,+,banana,&&&&&&&&&&,car,1,0,TEST,VEHICLE
10,+,pliers,&&&&&&&&&&,van,1,0,TEST,VEHICLE
11,+,eagle,&&&&&&&&&&,helicopter,1,0,TEST,VEHICLE
12,+,boots,&&&&&&&&&&,sailboat,1,0,TEST,VEHICLE
13,+,scooter,&&&&&&&&&&,bike,1,1,TEST,VEHICLE
14,+,tractor,&&&&&&&&&&,motorcycle,1,1,TEST,VEHICLE
15,+,subway,&&&&&&&&&&,trolley,1,1,TEST,VEHICLE
16,+,bus,&&&&&&&&&&,taxi,1,1,TEST,VEHICLE
17,+,truck,&&&&&&&&&&,giraffe,1,0,TEST,MAMMAL
18,+,lime,&&&&&&&&&&,dog,1,0,TEST,MAMMAL
19,+,screws,&&&&&&&&&&,horse,1,0,TEST,MAMMAL
20,+,woodpecker,&&&&&&&&&&,donkey,1,0,TEST,MAMMAL
21,+,cheetah,&&&&&&&&&&,lion,1,1,TEST,MAMMAL
22,+,buffalo,&&&&&&&&&&,cow,1,1,TEST,MAMMAL
23,+,lamb,&&&&&&&&&&,sheep,1,1,TEST,MAMMAL
24,+,skunk,&&&&&&&&&&,raccoon,1,1,TEST,MAMMAL
25,+,elephant,&&&&&&&&&&,knife,1,0,TEST,WEAPON
26,+,ambulance,&&&&&&&&&&,slingshot,1,0,TEST,WEAPON
27,+,pineapple,&&&&&&&&&&,cannon,1,0,TEST,WEAPON
28,+,pencil,&&&&&&&&&&,club,1,0,TEST,WEAPON
29,+,shotgun,&&&&&&&&&&,rifle,1,1,TEST,WEAPON
30,+,arrow,&&&&&&&&&&,bow,1,1,TEST,WEAPON
31,+,missile,&&&&&&&&&&,bomb,1,1,TEST,WEAPON
32,+,hatchet,&&&&&&&&&&,whip,1,1,TEST,WEAPON
33,+,sword,&&&&&&&&&&,celery,1,0,TEST,VEGETABLE
34,+,cat,&&&&&&&&&&,broccoli,1,0,TEST,VEGETABLE
35,+,airplane,&&&&&&&&&&,radish,1,0,TEST,VEGETABLE
36,+,raspberry,&&&&&&&&&&,potato,1,0,TEST,VEGETABLE
37,+,asparagus,&&&&&&&&&&,peas,1,1,TEST,VEGETABLE
38,+,garlic,&&&&&&&&&&,onions,1,1,TEST,VEGETABLE
39,+,cabbage,&&&&&&&&&&,lettuce,1,1,TEST,VEGETABLE
40,+,spinach,&&&&&&&&&&,pepper,1,1,TEST,VEGETABLE
41,+,carrot,&&&&&&&&&&,jacket,1,0,TEST,CLOTHING
42,+,spear,&&&&&&&&&&,slippers,1,0,TEST,CLOTHING
43,+,zebra,&&&&&&&&&&,scarf,1,0,TEST,CLOTHING
44,+,canoe,&&&&&&&&&&,shoes,1,0,TEST,CLOTHING
45,+,skirt,&&&&&&&&&&,sweater,1,1,TEST,CLOTHING
46,+,swimsuit,&&&&&&&&&&,coat,1,1,TEST,CLOTHING
47,+,jeans,&&&&&&&&&&,pants,1,1,TEST,CLOTHING
48,+,belt,&&&&&&&&&&,socks,1,1,TEST,CLOTHING
49,+,vest,&&&&&&&&&&,chicken,1,0,TEST,BIRD
50,+,cauliflower,&&&&&&&&&&,parakeet,1,0,TEST,BIRD
51,+,grenade,&&&&&&&&&&,hawk,1,0,TEST,BIRD
52,+,camel,&&&&&&&&&&,peacock,1,0,TEST,BIRD
53,+,seagull,&&&&&&&&&&,duck,1,1,TEST,BIRD
54,+,penguin,&&&&&&&&&&,ostrich,1,1,TEST,BIRD
55,+,stork,&&&&&&&&&&,swan,1,1,TEST,BIRD
56,+,raven,&&&&&&&&&&,crow,1,1,TEST,BIRD
57,+,turkey,&&&&&&&&&&,spade,1,0,TEST,TOOL
58,+,sandals,&&&&&&&&&&,wrench,1,0,TEST,TOOL
59,+,cucumber,&&&&&&&&&&,drill,1,0,TEST,TOOL
60,+,bat,&&&&&&&&&&,scissors,1,0,TEST,TOOL
61,+,screwdriver,&&&&&&&&&&,hammer,1,1,TEST,TOOL
62,+,rake,&&&&&&&&&&,hoe,1,1,TEST,TOOL
63,+,axe,&&&&&&&&&&,chisel,1,1,TEST,TOOL
64,+,sledgehammer,&&&&&&&&&&,crowbar,1,1,TEST,TOOL
65,+,shovel,&&&&&&&&&&,strawberry,1,0,TEST,FRUIT
